timestamp,accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,temp,emg,
 800825,-0.3046875,-0.272705078125,-0.9404296875,-0.030487805604934692,-0.24390244483947754,0.24390244483947754,2.4000000953674316,-12.75,12.899999618530273,37.77299499511719,0,
 800835,-0.314208984375,-0.278076171875,-0.936767578125,-0.5487805008888245,-0.21341463923454285,0.396341472864151,2.4000000953674316,-12.75,12.899999618530273,38.06053161621094,0,
 800845,-0.3134765625,-0.273193359375,-0.940673828125,-0.9756097793579102,-0.8231707215309143,-0.060975611209869385,2.549999952316284,-12.600000381469727,15.0,38.06053161621094,0,
 800855,-0.31494140625,-0.267333984375,-0.944091796875,-0.6402438879013062,-1.1280487775802612,0.7317073345184326,1.2000000476837158,-14.399999618530273,13.649999618530273,38.06053161621094,0,
 800865,-0.3330078125,-0.262939453125,-0.9599609375,-0.3658536672592163,-0.12195122241973877,0.3353658616542816,3.1500000953674316,-12.449999809265137,13.649999618530273,37.96468734741211,0,
 800875,-0.33642578125,-0.265380859375,-0.947265625,-0.4268292784690857,0.9756097793579102,0.396341472864151,3.1500000953674316,-13.949999809265137,12.449999809265137,37.77299499511719,0,
 800885,-0.319580078125,-0.271728515625,-0.947265625,0.060975611209869385,-0.3353658616542816,0.3048780560493469,3.1500000953674316,-13.949999809265137,12.449999809265137,37.96468734741211,0,
 800925,-0.317138671875,-0.273681640625,-0.9365234375,-0.7317073345184326,-1.3109756708145142,0.6097561120986938,3.0,-13.350000381469727,12.75,37.581302642822266,0,
 800935,-0.309814453125,-0.271240234375,-0.942626953125,-1.0365853309631348,-1.097561001777649,0.8841463327407837,4.5,-14.550000190734863,10.800000190734863,37.91676330566406,0,
 800945,-0.32568359375,-0.28173828125,-0.941162109375,-1.0060975551605225,-1.585365891456604,0.792682945728302,4.349999904632568,-12.75,12.899999618530273,38.06053161621094,0,
 800955,-0.31884765625,-0.272216796875,-0.94140625,-1.8292683362960815,-1.2804877758026123,1.0060975551605225,3.0,-12.149999618530273,13.050000190734863,37.91676330566406,0,
 800965,-0.31640625,-0.26904296875,-0.942138671875,-1.5243902206420898,-1.3719512224197388,1.3719512224197388,3.0,-11.399999618530273,13.050000190734863,37.91676330566406,0,
 800975,-0.3173828125,-0.266357421875,-0.944091796875,-2.22560977935791,-1.4939024448394775,1.4634146690368652,3.0,-11.399999618530273,13.050000190734863,37.72507095336914,0,
 800985,-0.31201171875,-0.260498046875,-0.92529296875,-2.591463565826416,-2.317073106765747,1.1890244483947754,2.4000000953674316,-11.550000190734863,13.949999809265137,37.868839263916016,0,
 800995,-0.322998046875,-0.275146484375,-0.941162109375,-1.1890244483947754,-1.737804889678955,1.4634146690368652,1.7999999523162842,-11.850000381469727,12.75,37.91676330566406,0,
