timestamp,accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,temp,emg,
 459631,-0.324462890625,-0.92236328125,-0.017333984375,-0.5487805008888245,0.27439025044441223,0.15243902802467346,4.5,2.700000047683716,-7.800000190734863,34.99346923828125,0,
 459641,-0.325439453125,-0.926513671875,-0.01806640625,-0.21341463923454285,0.21341463923454285,0.4268292784690857,4.650000095367432,2.549999952316284,-7.949999809265137,34.99346923828125,0,
 459651,-0.323974609375,-0.925048828125,-0.019775390625,-0.4573170840740204,0.3353658616542816,0.24390244483947754,4.650000095367432,2.549999952316284,-7.949999809265137,34.99346923828125,0,
 459661,-0.32861328125,-0.9189453125,-0.01904296875,-0.792682945728302,0.3353658616542816,-0.18292683362960815,3.299999952316284,2.25,-6.300000190734863,34.94554901123047,0,
 459671,-0.330322265625,-0.9287109375,-0.01904296875,-0.5792682766914368,0.4573170840740204,-0.030487805604934692,2.0999999046325684,-0.15000000596046448,-8.399999618530273,34.99346923828125,0,
 459681,-0.328369140625,-0.92578125,-0.0166015625,-0.7012194991111755,0.18292683362960815,-0.18292683362960815,4.199999809265137,1.5,-7.050000190734863,35.281005859375,0,
 459691,-0.33056640625,-0.921630859375,-0.019775390625,-0.9451219439506531,0.5792682766914368,0.4573170840740204,2.25,1.9500000476837158,-6.75,35.137237548828125,0,
 459701,-0.32373046875,-0.92578125,-0.023681640625,-0.4878048896789551,0.5792682766914368,0.3658536672592163,2.25,1.9500000476837158,-6.75,35.137237548828125,0,
 459711,-0.32373046875,-0.930908203125,-0.020751953125,-0.6097561120986938,0.27439025044441223,0.7012194991111755,4.199999809265137,1.0499999523162842,-7.050000190734863,35.089317321777344,0,
 459721,-0.32763671875,-0.920654296875,-0.02587890625,-0.7012194991111755,0.15243902802467346,0.4573170840740204,4.349999904632568,1.649999976158142,-7.650000095367432,34.7059326171875,0,
