timestamp,accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,temp,emg,
 1182880,-0.274658203125,-0.943359375,-0.028076171875,-0.18292683362960815,0.27439025044441223,0.6707317233085632,-0.15000000596046448,1.649999976158142,-9.149999618530273,36.814537048339844,0,
 1182890,-0.274169921875,-0.939453125,-0.025390625,-0.21341463923454285,0.15243902802467346,0.5182926654815674,-0.15000000596046448,1.649999976158142,-9.149999618530273,37.10207748413086,0,
 1182901,-0.27490234375,-0.935546875,-0.02880859375,-0.5792682766914368,0.4573170840740204,-0.030487805604934692,0.0,1.0499999523162842,-7.050000190734863,37.19792175292969,0,
 1182911,-0.275146484375,-0.9404296875,-0.02685546875,-0.8536585569381714,0.7621951103210449,-0.27439025044441223,0.30000001192092896,1.9500000476837158,-9.0,36.86246109008789,0,
 1182921,-0.271728515625,-0.941650390625,-0.0302734375,-1.0365853309631348,0.5182926654815674,-0.9756097793579102,2.549999952316284,2.25,-6.0,37.245845794677734,0,
 1182931,-0.2685546875,-0.9404296875,-0.02880859375,-1.1585365533828735,0.5487805008888245,-0.3048780560493469,1.0499999523162842,0.75,-9.0,37.006229400634766,0,
 1182941,-0.2763671875,-0.94189453125,-0.036865234375,-1.2804877758026123,0.5487805008888245,-0.060975611209869385,1.0499999523162842,0.75,-9.0,37.10207748413086,0,
 1182951,-0.27099609375,-0.938720703125,-0.032470703125,-0.9451219439506531,0.6097561120986938,0.060975611209869385,0.15000000596046448,2.8499999046325684,-7.650000095367432,37.10207748413086,0,
 1182961,-0.26416015625,-0.9404296875,-0.041015625,-0.9451219439506531,0.3658536672592163,0.3353658616542816,0.0,1.5,-8.25,37.006229400634766,0,
 1182971,-0.27490234375,-0.93505859375,-0.029541015625,-0.3658536672592163,0.3353658616542816,0.4573170840740204,1.7999999523162842,1.5,-8.25,36.86246109008789,0,
 1182981,-0.27392578125,-0.937744140625,-0.0263671875,-0.09146341681480408,0.12195122241973877,0.4878048896789551,0.75,1.9500000476837158,-6.300000190734863,37.006229400634766,0,
 1182991,-0.274658203125,-0.93603515625,-0.024169921875,-0.12195122241973877,0.3658536672592163,0.7621951103210449,0.75,1.9500000476837158,-6.300000190734863,36.814537048339844,0,
 1183001,-0.276123046875,-0.9443359375,-0.024658203125,-0.7621951103210449,0.18292683362960815,0.3658536672592163,0.75,2.25,-7.5,37.245845794677734,0,
 1183011,-0.275634765625,-0.93701171875,-0.020263671875,-0.5792682766914368,0.5182926654815674,0.3353658616542816,1.5,0.30000001192092896,-7.800000190734863,36.91038513183594,0,
 1183021,-0.266845703125,-0.934814453125,-0.02734375,-0.7317073345184326,0.3658536672592163,0.27439025044441223,0.44999998807907104,0.8999999761581421,-8.699999809265137,37.006229400634766,0,
 1183031,-0.268310546875,-0.938232421875,-0.034423828125,-0.4878048896789551,0.6402438879013062,0.15243902802467346,0.44999998807907104,0.8999999761581421,-8.699999809265137,36.91038513183594,0,
 1183041,-0.269775390625,-0.935546875,-0.02685546875,-0.6402438879013062,0.3658536672592163,0.3048780560493469,-0.30000001192092896,2.25,-7.800000190734863,37.05415344238281,0,
 1183051,-0.2783203125,-0.935791015625,-0.026123046875,-0.24390244483947754,0.396341472864151,0.0,1.0499999523162842,1.9500000476837158,-7.800000190734863,37.006229400634766,0,
 1183061,-0.27001953125,-0.941650390625,-0.03076171875,-0.6402438879013062,0.21341463923454285,0.24390244483947754,1.7999999523162842,0.75,-7.050000190734863,36.86246109008789,0,
 1183071,-0.27685546875,-0.935302734375,-0.031005859375,-0.5792682766914368,-0.060975611209869385,0.18292683362960815,0.30000001192092896,1.0499999523162842,-7.800000190734863,37.006229400634766,0,
 1183081,-0.2744140625,-0.934326171875,-0.032470703125,-0.15243902802467346,0.12195122241973877,0.060975611209869385,0.30000001192092896,1.0499999523162842,-7.800000190734863,36.718692779541016,0,
 1183091,-0.27392578125,-0.938232421875,-0.024169921875,-0.18292683362960815,0.24390244483947754,0.030487805604934692,0.75,0.75,-8.550000190734863,37.006229400634766,0,
 1183101,-0.272705078125,-0.93798828125,-0.02978515625,-0.6097561120986938,-0.030487805604934692,0.4268292784690857,1.5,1.5,-8.550000190734863,37.05415344238281,0,
