timestamp,accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,temp,emg,
 732034,-0.332763671875,-0.918701171875,-0.0087890625,-1.402438998222351,-0.8841463327407837,-4.6646342277526855,24.450000762939453,3.9000000953674316,-15.0,39.11483383178711,0,
 732044,-0.337646484375,-0.918212890625,-0.013671875,-1.432926893234253,0.6707317233085632,-5.945122241973877,25.200000762939453,1.9500000476837158,-15.0,39.11483383178711,0,
 732054,-0.325927734375,-0.92529296875,-0.014892578125,-0.8841463327407837,3.079268455505371,-6.402439117431641,25.200000762939453,1.9500000476837158,-15.0,38.82729721069336,0,
 732064,-0.318603515625,-0.924560546875,-0.023681640625,-0.8231707215309143,4.1768293380737305,-6.402439117431641,27.299999237060547,1.649999976158142,-13.199999809265137,39.30652618408203,0,
 732074,-0.322998046875,-0.92431640625,-0.02734375,0.24390244483947754,4.115853786468506,-6.707317352294922,25.950000762939453,2.700000047683716,-14.25,39.01898956298828,0,
 732084,-0.313720703125,-0.92236328125,-0.032470703125,0.6097561120986938,3.7195122241973877,-6.280488014221191,24.600000381469727,2.0999999046325684,-14.699999809265137,39.2106819152832,0,
 732094,-0.302734375,-0.9267578125,-0.03125,1.7682926654815674,3.0487804412841797,-6.097560882568359,25.649999618530273,3.75,-13.949999809265137,39.162757873535156,0,
 732104,-0.30712890625,-0.9296875,-0.031494140625,2.408536672592163,2.5304877758026123,-5.121951103210449,25.649999618530273,3.75,-13.949999809265137,39.01898956298828,0,
 732114,-0.30712890625,-0.929443359375,-0.03271484375,3.1097562313079834,1.7682926654815674,-4.634146213531494,25.5,3.1500000953674316,-13.5,38.82729721069336,0,
 732124,-0.30615234375,-0.92724609375,-0.034912109375,4.5731706619262695,1.097561001777649,-3.628048896789551,24.0,2.25,-13.050000190734863,39.2106819152832,0,
 732135,-0.30615234375,-0.931884765625,-0.025390625,4.878048896789551,0.4878048896789551,-3.2317073345184326,26.700000762939453,2.25,-13.050000190734863,39.01898956298828,0,
